"Action","Quantity","Price","Balance","PNL","SentimentAgent","MAAgent","BollingerAgent","RSIAgent","MACRO_0","MACRO_1","MACRO_2","VaR"
"buy",1.05,46434.08,66438.08799999987,2293.8299999999945,-1,0,0,0,-904.09656677217,-3.918182936991747,4.680424450343348,-0.022612085769980528
"sell",1.05,48618.68,117487.70199999987,2293.8299999999945,1,0,0,0,-759.6674372786628,-3.921280690993333,4.965676066886719,0.049461507778221
"buy",0.95,47093.4,72748.97199999988,-3926.8724999999977,-1,0,0,0,-2248.082796120704,-5.025000502206349,1.14936327353761,-0.0029417532849578265
"buy",0.95,43047.13,31854.198499999882,-3926.8724999999977,0,0,1,0,-2234.645500151172,-1.9532584212414423,3.179531195006187,-0.07307769524191932
"sell",1.9,43003.49,113560.82949999988,-3926.8724999999977,1,0,0,0,-1739.3804679627326,5.521349061839524,-0.5697603723878066,0.0028267014568383875
"buy",0.95,38926.62,76580.54049999987,-3551.223500000022,0,0,1,0,-542.9773430971064,14.500588752529303,1.6815173821078346,-0.07504440497335707
"buy",0.95,35750.73,42617.34699999987,-3551.223500000022,-1,0,0,1,-92.95326049885634,16.15466636516508,3.93441083596177,-0.08449351896303403
"sell",1.9,35469.61,110009.60599999985,-3551.223500000022,1,0,0,0,-125.9944351568083,15.923266297101629,4.4645343584636565,-0.007603565810173074
"buy",0.95,36062.44,75750.28799999985,-61.275000000001455,1,0,0,0,-192.07678447270496,15.46046616097473,5.524781403467414,0.024799999999999933
"sell",0.95,35997.94,109948.33099999986,-61.275000000001455,-1,0,0,0,4.31604699896525,20.5174397593224,5.837846991960839,-0.04458281444582812
"buy",0.95,42296.23,69766.91249999986,3873.948000000004,-1,0,0,0,-565.6737443751222,21.556847307625446,1.7794020329448228,-0.01046435578809679
"buy",0.95,41788.17,30068.150999999867,3873.948000000004,1,1,0,0,-451.0876583892305,23.77402649626572,1.7168295978596697,-0.011686879823594287
"sell",1.9,44081.12,113822.27899999986,3873.948000000004,1,0,0,0,-816.4482969153399,19.09240529329748,1.1540171849045866,0.012609531951271569
"buy",1.05,39367.29,72486.62449999986,-124.64549999999872,-1,0,0,0,213.8484273268481,23.32155447786282,0.9358970649159872,-0.024497342269470757
"sell",1.05,39248.58,113697.63349999987,-124.64549999999872,1,0,0,0,334.4887612503578,24.074482219378577,0.7906786370143388,-0.004264392324093813
"buy",1.05,36751.36,75108.70549999987,,0,-1,0,1,455.1290951738748,24.827409960894368,0.6454602091126672,-0.06590530573399955
"buy",1.05,34644.77,38731.69699999987,,0,0,1,0,1040.6164504659555,28.084669172189315,1.3382960727117312,-0.09099852434825384
